audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,audio_features,0qxYx4F3vm1AOnfux6dDxP,spotify:track:0qxYx4F3vm1AOnfux6dDxP,https://api.spotify.com/v1/tracks/0qxYx4F3vm1AOnfux6dDxP,https://api.spotify.com/v1/audio-analysis/0qxYx4F3vm1AOnfux6dDxP,280000,4
0.851,0.406,1,-11.631,1,0.0661,0.219,0.00000641,0.0853,0.792,97.84,audio_features,4kOfxxnW1ukZdsNbCKY9br,spotify:track:4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/tracks/4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/audio-analysis/4kOfxxnW1ukZdsNbCKY9br,226880,4
0.45,0.656,2,-7.049,1,0.0472,0.664,0.00000302,0.259,0.782,106.61,audio_features,3MrWxJaD2AT0W9DjWF64Vm,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/tracks/3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/audio-analysis/3MrWxJaD2AT0W9DjWF64Vm,287307,4
0.765,0.766,0,-9.374,1,0.0348,0.41,0.052,0.177,0.923,128.177,audio_features,0xuXRQJfxmdP6gvfDe2Z4L,spotify:track:0xuXRQJfxmdP6gvfDe2Z4L,https://api.spotify.com/v1/tracks/0xuXRQJfxmdP6gvfDe2Z4L,https://api.spotify.com/v1/audio-analysis/0xuXRQJfxmdP6gvfDe2Z4L,222760,4
0.544,0.897,3,-6.056,0,0.0471,0.241,0,0.13,0.647,157.17,audio_features,34x6hEJgGAOQvmlMql5Ige,spotify:track:34x6hEJgGAOQvmlMql5Ige,https://api.spotify.com/v1/tracks/34x6hEJgGAOQvmlMql5Ige,https://api.spotify.com/v1/audio-analysis/34x6hEJgGAOQvmlMql5Ige,215133,4
0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,audio_features,5eU8qMd0TpaLqTGDZJaLDs,spotify:track:5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/tracks/5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/audio-analysis/5eU8qMd0TpaLqTGDZJaLDs,180518,4
0.808,0.485,0,-8.829,1,0.056,0.0761,0.00414,0.0477,0.714,122.659,audio_features,4VyU9Tg4drTj2mOUZHSK2u,spotify:track:4VyU9Tg4drTj2mOUZHSK2u,https://api.spotify.com/v1/tracks/4VyU9Tg4drTj2mOUZHSK2u,https://api.spotify.com/v1/audio-analysis/4VyU9Tg4drTj2mOUZHSK2u,262440,4
0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,audio_features,1ChulFMnwxoD74Me8eX2TU,spotify:track:1ChulFMnwxoD74Me8eX2TU,https://api.spotify.com/v1/tracks/1ChulFMnwxoD74Me8eX2TU,https://api.spotify.com/v1/audio-analysis/1ChulFMnwxoD74Me8eX2TU,195147,4
0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747,audio_features,1ZPlNanZsJSPK5h9YZZFbZ,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/tracks/1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/audio-analysis/1ZPlNanZsJSPK5h9YZZFbZ,218627,4
0.721,0.939,8,-11.823,1,0.0376,0.115,0.0000379,0.108,0.914,113.309,audio_features,4PTG3Z6ehGkBFwjybzWkR8,spotify:track:4PTG3Z6ehGkBFwjybzWkR8,https://api.spotify.com/v1/tracks/4PTG3Z6ehGkBFwjybzWkR8,https://api.spotify.com/v1/audio-analysis/4PTG3Z6ehGkBFwjybzWkR8,213573,4
