audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.431,0.723,8,-5.887,1,0.0568,0.145,0,0.374,0.19,130.141,audio_features,7wuJGgpTNzbUyn26IOY6rj,spotify:track:7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/tracks/7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/audio-analysis/7wuJGgpTNzbUyn26IOY6rj,267360,4
0.778,0.754,9,-11.605,1,0.0364,0.15,0.000196,0.402,0.974,126.507,audio_features,3BpFrWs5RF8DY8BpI6a8aJ,spotify:track:3BpFrWs5RF8DY8BpI6a8aJ,https://api.spotify.com/v1/tracks/3BpFrWs5RF8DY8BpI6a8aJ,https://api.spotify.com/v1/audio-analysis/3BpFrWs5RF8DY8BpI6a8aJ,265733,4
0.773,0.543,0,-9.97,1,0.0292,0.093,0.00000563,0.175,0.802,115.997,audio_features,5XE8c07vbpQBUriwybOHtd,spotify:track:5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/tracks/5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/audio-analysis/5XE8c07vbpQBUriwybOHtd,160000,4
0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,audio_features,3MrRksHupTVEQ7YbA0FsZK,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/audio-analysis/3MrRksHupTVEQ7YbA0FsZK,310333,4
0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
0.633,0.357,5,-9.366,0,0.0264,0.105,0,0.133,0.674,104.938,audio_features,2JoZzpdeP2G6Csfdq5aLXP,spotify:track:2JoZzpdeP2G6Csfdq5aLXP,https://api.spotify.com/v1/tracks/2JoZzpdeP2G6Csfdq5aLXP,https://api.spotify.com/v1/audio-analysis/2JoZzpdeP2G6Csfdq5aLXP,245200,4
0.806,0.599,0,-9.379,0,0.0323,0.195,0.000455,0.0837,0.556,109.016,audio_features,7F8JbSCPBXm3IxMx2UMMhH,spotify:track:7F8JbSCPBXm3IxMx2UMMhH,https://api.spotify.com/v1/tracks/7F8JbSCPBXm3IxMx2UMMhH,https://api.spotify.com/v1/audio-analysis/7F8JbSCPBXm3IxMx2UMMhH,244080,4
0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,audio_features,2bCQHF9gdG5BNDVuEIEnNk,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,257760,4
0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
0.395,0.252,0,-13.589,1,0.0301,0.8,0,0.101,0.126,177.679,audio_features,4LFwNJWoj74Yd71fIr1W8x,spotify:track:4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/tracks/4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/audio-analysis/4LFwNJWoj74Yd71fIr1W8x,264333,4
