id,song_name,artist,pic_url,preview_url,release_year
31H6au3jhblhr6MMJiXnCq,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,https://i.scdn.co/image/ab67616d0000b27356daa802ddbaedf04e8123cc,https://p.scdn.co/mp3-preview/54a8016e755e79be5b84fbeafe61685e48b18e22?cid=f4f54a850da14f27a6e2b44603fe8013,1997
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Bruce Springsteen,https://i.scdn.co/image/ab67616d0000b273a7865e686c36a4adda6c9978,https://p.scdn.co/mp3-preview/f98a1f3b07ca22d6ccda4a2e360981d1b0bfcbbc?cid=f4f54a850da14f27a6e2b44603fe8013,1984
31PpNkqfvdNtFbSGOsvX2d,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder) - Remastered",Dionne Warwick,https://i.scdn.co/image/ab67616d0000b2731b8f3d65c52f4618cc64ec75,https://p.scdn.co/mp3-preview/5da293e10a9b189fe52440821af5453f619f862f?cid=f4f54a850da14f27a6e2b44603fe8013,1999
4kOfxxnW1ukZdsNbCKY9br,What's Love Got to Do with It,Tina Turner,https://i.scdn.co/image/ab67616d0000b273e9c361da971c6e81b51ef06b,https://p.scdn.co/mp3-preview/765249201f9cb6cd6d5251c83929d56805821194?cid=f4f54a850da14f27a6e2b44603fe8013,1993
46RVKt5Edm1zl0rXhPJZxz,Down Under,Men At Work,https://i.scdn.co/image/ab67616d0000b273d6a1f7a12629154fa274631f,https://p.scdn.co/mp3-preview/495cef21e5710283a62c8e0663689d5f56e12fec?cid=f4f54a850da14f27a6e2b44603fe8013,1996
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,https://p.scdn.co/mp3-preview/e5dde93998c6b622d0ac236ceeaabd49481da078?cid=f4f54a850da14f27a6e2b44603fe8013,1979
3YBZIN3rekqsKxbJc9FZko,Paradise City,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,,1987
058VOmj2vkyItyKHFLc8vF,Da Ya Think I'm Sexy,Rod Stewart,https://i.scdn.co/image/ab67616d0000b273a121909a39fea2d768db671e,,2017
3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,Vanilla Ice,https://i.scdn.co/image/ab67616d0000b2730d441bd2334134eca6761fc4,https://p.scdn.co/mp3-preview/8344d5dc4d6d4de7446d0a0f0262b850bf5a439a?cid=f4f54a850da14f27a6e2b44603fe8013,2008
4aKIs5t9TqP59btlCGPrgw,Maneater,Daryl Hall & John Oates,https://i.scdn.co/image/ab67616d0000b273cb6fdb35aac14a4dcc437f5b,,1982
5YbgcwHjQhdT1BYQ4rxWlD,Don't Worry Be Happy,Bobby McFerrin,https://i.scdn.co/image/ab67616d0000b2734d502f3148f70459329e02fd,,1997
54b8qPFqYqIndfdxiLApea,Alone,Heart,https://i.scdn.co/image/ab67616d0000b2735fa646a4cfcd17842fdd7bbd,,1987
