danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.731,0.867,11,-5.881,1,0.032,0.0395,0,0.0861,0.776,104.019,audio_features,3cfOd4CMv2snFaKAnMdnvK,spotify:track:3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/audio-analysis/3cfOd4CMv2snFaKAnMdnvK,200373,4
0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,audio_features,7aQjPecQdIuNd1sz3KCDhD,spotify:track:7aQjPecQdIuNd1sz3KCDhD,https://api.spotify.com/v1/tracks/7aQjPecQdIuNd1sz3KCDhD,https://api.spotify.com/v1/audio-analysis/7aQjPecQdIuNd1sz3KCDhD,193953,4
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,audio_features,4LJhJ6DQS7NwE7UKtvcM52,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,https://api.spotify.com/v1/tracks/4LJhJ6DQS7NwE7UKtvcM52,https://api.spotify.com/v1/audio-analysis/4LJhJ6DQS7NwE7UKtvcM52,148360,4
0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,audio_features,3YRCqOhFifThpSRFJ1VWFM,spotify:track:3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/tracks/3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/audio-analysis/3YRCqOhFifThpSRFJ1VWFM,536067,4
0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,audio_features,3ovjw5HZZv43SxTwApooCM,spotify:track:3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/tracks/3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM,312360,4
0.578,0.817,0,-6.542,1,0.0363,0.183,0.00000306,0.285,0.726,141.621,audio_features,5DiXcVovI0FcY2s0icWWUu,spotify:track:5DiXcVovI0FcY2s0icWWUu,https://api.spotify.com/v1/tracks/5DiXcVovI0FcY2s0icWWUu,https://api.spotify.com/v1/audio-analysis/5DiXcVovI0FcY2s0icWWUu,272293,4
0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,audio_features,3u5N55tHf7hXATSQrjBh2q,spotify:track:3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/tracks/3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/audio-analysis/3u5N55tHf7hXATSQrjBh2q,213394,4
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,64BbK9SFKH2jk86U3dGj2P,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/audio-analysis/64BbK9SFKH2jk86U3dGj2P,255373,4
0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,audio_features,11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,281160,4
0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,audio_features,3WkibOpDF7cQ5xntM1epyf,spotify:track:3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,227600,4
