id,song_name,artist,pic_url,preview_url,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,test,index
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=f4f54a850da14f27a6e2b44603fe8013,1982,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4,1,30
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7,,1979,0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,audio_features,spotify:track:2JoZzpdeP2G6Csfdq5aLXP,https://api.spotify.com/v1/tracks/2JoZzpdeP2G6Csfdq5aLXP,https://api.spotify.com/v1/audio-analysis/2JoZzpdeP2G6Csfdq5aLXP,245200,4,1,31
7F8JbSCPBXm3IxMx2UMMhH,Eye of the Tiger,Survivor,https://i.scdn.co/image/ab67616d0000b27327f6ab1746737ae97c94a617,https://p.scdn.co/mp3-preview/60bb6e304d5ea2654ed3e020c4a782ff6f9f919a?cid=f4f54a850da14f27a6e2b44603fe8013,2014,0.806,0.599,0,-9.379,0,0.0323,0.195,0.000455,0.0837,0.556,109.016,audio_features,spotify:track:7F8JbSCPBXm3IxMx2UMMhH,https://api.spotify.com/v1/tracks/7F8JbSCPBXm3IxMx2UMMhH,https://api.spotify.com/v1/audio-analysis/7F8JbSCPBXm3IxMx2UMMhH,244080,4,1,32
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d,https://p.scdn.co/mp3-preview/e26c1dde2d9a44315124580cfbe6636f4aab1e22?cid=f4f54a850da14f27a6e2b44603fe8013,2012,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,audio_features,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,257760,4,1,33
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=f4f54a850da14f27a6e2b44603fe8013,1983,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4,1,34
4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,Richard Marx,https://i.scdn.co/image/ab67616d0000b273edc27582d8f5c3a7c56893bf,,1989,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679,audio_features,spotify:track:4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/tracks/4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/audio-analysis/4LFwNJWoj74Yd71fIr1W8x,264333,4,1,35
4LOgi2TAAoKU9ImfzRrCPO,Heaven,Bryan Adams,https://i.scdn.co/image/ab67616d0000b273d0b17cab0d1a584d55ded42f,,1984,0.269,0.572,9,-7.361,0,0.0278,0.059,1.3e-06,0.123,0.364,69.83,audio_features,spotify:track:4LOgi2TAAoKU9ImfzRrCPO,https://api.spotify.com/v1/tracks/4LOgi2TAAoKU9ImfzRrCPO,https://api.spotify.com/v1/audio-analysis/4LOgi2TAAoKU9ImfzRrCPO,243360,4,1,36
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,https://i.scdn.co/image/ab67616d0000b2733e030a7e606959674643d274,https://p.scdn.co/mp3-preview/23f9b7ad0a9008aca1017cce9b5ba375b322ac8b?cid=f4f54a850da14f27a6e2b44603fe8013,1984,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787,4,1,37
0wQy2OO7jKjm0OOmA7gv3f,Thriller - 2003 Edit,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2735dfb1bcbc7c58c52c9e5c0be,https://p.scdn.co/mp3-preview/4514cc259ca59b2b57b818058e69de433fba4272?cid=f4f54a850da14f27a6e2b44603fe8013,1979,0.775,0.852,11,-4.813,1,0.0528,0.0892,2.35e-05,0.823,0.836,118.561,audio_features,spotify:track:0wQy2OO7jKjm0OOmA7gv3f,https://api.spotify.com/v1/tracks/0wQy2OO7jKjm0OOmA7gv3f,https://api.spotify.com/v1/audio-analysis/0wQy2OO7jKjm0OOmA7gv3f,311440,4,1,38
6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,https://i.scdn.co/image/ab67616d0000b2739f42645526f8bdfcb935998d,https://p.scdn.co/mp3-preview/361fd8946cd20110a0267af87ef5b98ac1c6e7a9?cid=f4f54a850da14f27a6e2b44603fe8013,1990,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,audio_features,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4,1,39
